,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,rodada,mandante_Placar,visitante_Placar,vencedor,campeonato,mandante,faltas_mandante,visitante,faltas_visitante,total_faltas_partida
1973,6616,Palmeiras,1,0,Vasco,4,0,1,4,5,0,5,12,1,1,-,17,Palmeiras,22,Vasco,22,44
1974,6617,Cruzeiro,1,0,Athletico-PR,0,0,1,0,1,0,1,12,0,2,Athletico-PR,17,Cruzeiro,0,Athletico-PR,0,0
1975,6618,Fluminense,1,0,Sao Paulo,3,0,1,3,4,0,4,12,1,2,Sao Paulo,17,Fluminense,20,Sao Paulo,14,34
1976,6619,Internacional,3,0,Ceara,3,0,3,3,6,0,6,12,1,0,Internacional,17,Internacional,11,Ceara,12,23
1977,6620,Chapecoense,1,0,Bahia,1,0,1,1,2,0,2,12,0,0,-,17,Chapecoense,16,Bahia,15,31
1978,6621,Flamengo,5,0,Botafogo-RJ,2,0,5,2,7,0,7,12,3,2,Flamengo,17,Flamengo,23,Botafogo-RJ,16,39
1979,6622,Santos,2,0,Avai,2,0,2,2,4,0,4,12,3,1,Santos,17,Santos,9,Avai,13,22
1980,6623,Goias,1,0,Atletico-MG,0,0,1,0,1,0,1,12,0,0,-,17,Goias,14,Atletico-MG,9,23
1981,6624,Fortaleza,2,0,Corinthians,1,0,2,1,3,0,3,12,1,3,Corinthians,17,Fortaleza,18,Corinthians,16,34
1982,6625,CSA,4,0,Gremio,2,0,4,2,6,0,6,12,0,0,-,17,CSA,13,Gremio,13,26
1983,6626,Ceara,3,0,Fortaleza,1,1,3,2,4,1,5,13,2,1,Ceara,17,Ceara,14,Fortaleza,16,30
1984,6627,Fluminense,1,0,Internacional,2,0,1,2,3,0,3,13,2,1,Fluminense,17,Fluminense,8,Internacional,12,20
1985,6628,Santos,3,0,Goias,4,0,3,4,7,0,7,13,6,1,Santos,17,Santos,15,Goias,8,23
1986,6629,Avai,2,1,Botafogo-RJ,1,0,3,1,3,1,4,13,0,2,Botafogo-RJ,17,Avai,12,Botafogo-RJ,11,23
1987,6630,Bahia,1,1,Flamengo,1,0,2,1,2,1,3,13,3,0,Bahia,17,Bahia,18,Flamengo,14,32
1988,6631,Corinthians,1,0,Palmeiras,3,0,1,3,4,0,4,13,1,1,-,17,Corinthians,11,Palmeiras,24,35
1989,6632,Vasco,4,0,CSA,1,0,4,1,5,0,5,13,0,0,-,17,Vasco,13,CSA,14,27
1990,6633,Atletico-MG,2,0,Cruzeiro,3,0,2,3,5,0,5,13,2,0,Atletico-MG,17,Atletico-MG,19,Cruzeiro,13,32
1991,6634,Gremio,4,0,Chapecoense,3,0,4,3,7,0,7,13,3,3,-,17,Gremio,17,Chapecoense,16,33
1992,6635,Athletico-PR,3,0,Sao Paulo,3,0,3,3,6,0,6,13,0,1,Sao Paulo,17,Athletico-PR,0,Sao Paulo,0,0
1993,6636,Ceara,3,0,Chapecoense,2,0,3,2,5,0,5,14,4,1,Ceara,17,Ceara,20,Chapecoense,11,31
1994,6637,Sao Paulo,6,0,Santos,1,0,6,1,7,0,7,14,3,2,Sao Paulo,17,Sao Paulo,21,Santos,15,36
1995,6638,Flamengo,4,0,Gremio,2,0,4,2,6,0,6,14,3,1,Flamengo,17,Flamengo,14,Gremio,15,29
1996,6639,Atletico-MG,4,0,Fluminense,3,1,4,4,7,1,8,14,2,1,Atletico-MG,17,Atletico-MG,14,Fluminense,13,27
1997,6640,Internacional,3,0,Corinthians,2,0,3,2,5,0,5,14,0,0,-,17,Internacional,16,Corinthians,8,24
1998,6641,Palmeiras,6,1,Bahia,4,1,7,5,10,2,12,14,2,2,-,17,Palmeiras,15,Bahia,19,34
1999,6642,Avai,4,1,Cruzeiro,2,1,5,3,6,2,8,14,2,2,-,17,Avai,15,Cruzeiro,15,30
2000,6643,Botafogo-RJ,3,0,Athletico-PR,1,0,3,1,4,0,4,14,2,1,Botafogo-RJ,17,Botafogo-RJ,11,Athletico-PR,12,23
2001,6644,Goias,4,0,Vasco,4,1,4,5,8,1,9,14,0,1,Vasco,17,Goias,14,Vasco,22,36
2002,6645,CSA,3,0,Fortaleza,1,0,3,1,4,0,4,14,0,2,Fortaleza,17,CSA,19,Fortaleza,13,32
2003,6646,Corinthians,2,0,Botafogo-RJ,3,0,2,3,5,0,5,15,2,0,Corinthians,17,Corinthians,17,Botafogo-RJ,13,30
2004,6647,Fortaleza,2,1,Internacional,2,0,3,2,4,1,5,15,0,1,Internacional,17,Fortaleza,14,Internacional,14,28
2005,6648,Vasco,0,0,Flamengo,3,0,0,3,3,0,3,15,1,4,Flamengo,17,Vasco,12,Flamengo,18,30
2006,6649,Athletico-PR,3,0,Atletico-MG,1,0,3,1,4,0,4,15,1,0,Athletico-PR,17,Athletico-PR,0,Atletico-MG,0,0
2007,6651,Fluminense,1,0,CSA,2,0,1,2,3,0,3,15,0,1,CSA,17,Fluminense,7,CSA,16,23
