,ID,Unnamed: 0,campeonato,clube_mandante,clube_visitante,data,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_amarelos,total_cartoes_mandante,total_cartoes_partida,total_cartoes_vermelhos,total_cartoes_visitante
142,4754,142.0,12,Atletico-MG,Palmeiras,10/8/2014,2,2,0,0,4,2,4,0,2
143,4755,143.0,12,Chapecoense,Figueirense,10/8/2014,2,2,0,0,4,2,4,0,2
144,4756,144.0,12,Sao Paulo,Vitoria,10/8/2014,5,2,0,0,7,5,7,0,2
145,4757,145.0,12,Goias,Internacional,16/8/2014,1,1,0,0,2,1,2,0,1
146,4758,146.0,12,Corinthians,Bahia,16/8/2014,1,4,0,0,5,1,5,0,4
147,4759,147.0,12,Coritiba,Flamengo,17/8/2014,2,4,1,0,6,3,7,1,4
148,4760,148.0,12,Palmeiras,Sao Paulo,17/8/2014,2,4,0,0,6,2,6,0,4
149,4761,149.0,12,Gremio,Criciuma,17/8/2014,1,2,0,0,3,1,3,0,2
150,4762,150.0,12,Cruzeiro,Santos,17/8/2014,3,1,0,0,4,3,4,0,1
151,4763,151.0,12,Vitoria,Chapecoense,17/8/2014,1,1,0,0,2,1,2,0,1
152,4764,152.0,12,Botafogo-RJ,Fluminense,17/8/2014,4,2,0,0,6,4,6,0,2
153,4765,153.0,12,Sport,Athletico-PR,17/8/2014,4,3,0,0,7,4,7,0,3
154,4766,154.0,12,Figueirense,Atletico-MG,17/8/2014,6,5,0,0,11,6,11,0,5
155,4767,155.0,12,Sport,Palmeiras,20/8/2014,0,1,0,0,1,0,1,0,1
156,4768,156.0,12,Figueirense,Botafogo-RJ,20/8/2014,1,2,0,0,3,1,3,0,2
157,4769,157.0,12,Santos,Athletico-PR,20/8/2014,0,2,0,0,2,0,2,0,2
158,4770,158.0,12,Coritiba,Vitoria,20/8/2014,3,1,0,0,4,3,4,0,1
159,4771,159.0,12,Bahia,Criciuma,20/8/2014,2,5,0,0,7,2,7,0,5
160,4772,160.0,12,Chapecoense,Fluminense,20/8/2014,2,3,0,1,5,2,6,1,4
161,4773,161.0,12,Flamengo,Atletico-MG,20/8/2014,2,2,0,0,4,2,4,0,2
162,4774,162.0,12,Internacional,Sao Paulo,20/8/2014,1,1,0,0,2,1,2,0,1
163,4775,163.0,12,Corinthians,Goias,21/8/2014,1,3,0,0,4,1,4,0,3
164,4776,164.0,12,Cruzeiro,Gremio,21/8/2014,5,3,0,0,8,5,8,0,3
165,4777,165.0,12,Atletico-MG,Internacional,23/8/2014,3,2,0,0,5,3,5,0,2
166,4778,166.0,12,Botafogo-RJ,Chapecoense,23/8/2014,2,1,0,0,3,2,3,0,1
167,4779,167.0,12,Palmeiras,Coritiba,23/8/2014,6,4,0,1,10,6,11,1,5
168,4780,168.0,12,Gremio,Corinthians,24/8/2014,2,3,0,1,5,2,6,1,4
169,4781,169.0,12,Criciuma,Flamengo,24/8/2014,2,0,1,0,2,3,3,1,0
170,4782,170.0,12,Vitoria,Figueirense,24/8/2014,2,2,0,0,4,2,4,0,2
171,4783,171.0,12,Sao Paulo,Santos,24/8/2014,5,3,0,0,8,5,8,0,3
172,4784,172.0,12,Fluminense,Sport,24/8/2014,1,0,0,0,1,1,1,0,0
173,4785,173.0,12,Goias,Cruzeiro,24/8/2014,4,3,0,0,7,4,7,0,3
174,4786,174.0,12,Athletico-PR,Bahia,24/8/2014,1,1,0,0,2,1,2,0,1
175,4787,175.0,12,Palmeiras,Internacional,30/8/2014,2,3,0,0,5,2,5,0,3
176,4788,176.0,12,Cruzeiro,Chapecoense,30/8/2014,4,3,0,0,7,4,7,0,3
177,4789,177.0,12,Corinthians,Fluminense,31/8/2014,3,2,0,0,5,3,5,0,2
178,4790,178.0,12,Coritiba,Atletico-MG,31/8/2014,2,4,0,0,6,2,6,0,4
179,4791,179.0,12,Sport,Criciuma,31/8/2014,3,4,0,0,7,3,7,0,4
180,4792,180.0,12,Figueirense,Sao Paulo,31/8/2014,1,2,0,1,3,1,4,1,3
181,4793,181.0,12,Botafogo-RJ,Santos,31/8/2014,2,2,0,0,4,2,4,0,2
182,4794,182.0,12,Gremio,Bahia,31/8/2014,4,3,0,0,7,4,7,0,3
183,4796,183.0,12,Vitoria,Flamengo,31/8/2014,2,3,0,0,5,2,5,0,3
184,4797,184.0,12,Santos,Vitoria,6/9/2014,1,6,0,0,7,1,7,0,6
185,4798,185.0,12,Flamengo,Gremio,6/9/2014,1,2,0,0,3,1,3,0,2
186,4799,186.0,12,Chapecoense,Goias,6/9/2014,2,1,0,0,3,2,3,0,1
187,4800,187.0,12,Sao Paulo,Sport,7/9/2014,0,2,0,0,2,0,2,0,2
188,4801,188.0,12,Criciuma,Corinthians,7/9/2014,5,3,0,0,8,5,8,0,3
189,4802,189.0,12,Atletico-MG,Botafogo-RJ,7/9/2014,3,3,0,1,6,3,7,1,4
190,4803,190.0,12,Fluminense,Cruzeiro,7/9/2014,1,4,0,0,5,1,5,0,4
191,4804,191.0,12,Bahia,Coritiba,7/9/2014,6,2,0,0,8,6,8,0,2
192,4805,192.0,12,Athletico-PR,Palmeiras,7/9/2014,3,0,0,1,3,3,4,1,1
193,4806,193.0,12,Internacional,Figueirense,7/9/2014,3,4,0,1,7,3,8,1,5
194,4807,194.0,12,Gremio,Athletico-PR,10/9/2014,2,3,0,0,5,2,5,0,3
195,4808,195.0,12,Palmeiras,Criciuma,10/9/2014,4,3,0,0,7,4,7,0,3
196,4809,196.0,12,Figueirense,Fluminense,10/9/2014,3,2,1,1,5,4,7,2,3
197,4810,197.0,12,Sport,Santos,10/9/2014,5,1,0,0,6,5,6,0,1
198,4811,198.0,12,Coritiba,Chapecoense,10/9/2014,3,2,0,0,5,3,5,0,2
199,4813,199.0,12,Botafogo-RJ,Sao Paulo,10/9/2014,1,2,1,0,3,2,4,1,2
200,4814,200.0,12,Vitoria,Internacional,10/9/2014,1,1,0,0,2,1,2,0,1
201,4815,201.0,12,Corinthians,Atletico-MG,11/9/2014,3,1,0,0,4,3,4,0,1
202,4816,202.0,12,Cruzeiro,Bahia,11/9/2014,1,4,0,2,5,1,7,2,6
203,4817,203.0,12,Fluminense,Palmeiras,13/9/2014,1,4,0,0,5,1,5,0,4
204,4818,204.0,12,Chapecoense,Sport,13/9/2014,1,2,0,0,3,1,3,0,2
205,4819,205.0,12,Santos,Coritiba,13/9/2014,4,3,0,0,7,4,7,0,3
206,4820,206.0,12,Bahia,Figueirense,14/9/2014,2,1,0,0,3,2,3,0,1
207,4821,207.0,12,Internacional,Botafogo-RJ,14/9/2014,2,3,0,0,5,2,5,0,3
208,4822,208.0,12,Flamengo,Corinthians,14/9/2014,2,1,0,0,3,2,3,0,1
209,4823,209.0,12,Sao Paulo,Cruzeiro,14/9/2014,3,2,0,0,5,3,5,0,2
