,total_cartoes_mandante,total_cartoes_visitante,faltas_mandante,faltas_visitante,total_faltas_partida,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante
26,2,2,19,6,25,0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
27,5,6,15,17,32,0,0.0,0.0,0.0,0.0,4.5,1.5,0.0,0.0,4.5,1.5,0.0,0.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
28,2,2,17,11,28,0,0.0,0.0,0.0,0.0,3.5,3.0,0.0,0.5,3.5,3.0,0.0,0.5,4.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0
29,1,4,13,17,30,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
30,4,3,20,15,35,0,0.0,0.0,0.0,0.0,2.67,3.67,0.33,0.0,2.67,3.67,0.33,0.0,5.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0
31,4,4,17,21,38,0,0.0,0.0,0.0,0.0,2.67,4.67,0.0,0.0,2.67,4.67,0.0,0.0,4.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0
32,0,4,12,13,25,0,0.0,0.0,0.0,0.0,1.33,2.0,0.33,0.67,1.33,2.0,0.33,0.67,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
33,1,2,9,11,20,0,0.0,0.0,0.0,0.0,3.0,1.67,0.33,0.0,3.0,1.67,0.33,0.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
34,1,1,14,14,28,0,0.0,0.0,0.0,0.0,4.0,4.0,0.33,0.0,4.0,4.0,0.33,0.0,5.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0
35,0,3,16,12,28,0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
