ID;data;clube_mandante_x;clube_visitante_x;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
6801;3/11/2019;Athletico-PR;CSA;3;4;0;0
6804;3/11/2019;Cruzeiro;Bahia;2;0;1;0
6808;6/11/2019;Avai;Santos;4;2;1;1
6809;6/11/2019;Athletico-PR;Cruzeiro;3;0;0;1
6814;7/11/2019;Botafogo-RJ;Flamengo;4;2;1;0
6820;10/11/2019;Sao Paulo;Athletico-PR;2;2;0;0
6824;10/11/2019;CSA;Vasco;1;2;1;0
6825;11/11/2019;Botafogo-RJ;Avai;4;2;0;1
6838;17/11/2019;Gremio;Flamengo;1;2;0;1
6841;17/11/2019;Athletico-PR;Botafogo-RJ;4;1;0;0
6829;24/11/2019;Atletico-MG;Athletico-PR;3;2;0;0
6849;27/11/2019;Athletico-PR;Gremio;3;4;0;1
6853;28/11/2019;Fortaleza;Santos;2;6;0;2
6857;30/11/2019;Ceara;Athletico-PR;7;1;0;1
6861;1/12/2019;CSA;Bahia;3;3;0;1
6866;4/12/2019;Athletico-PR;Santos;2;3;0;1
6867;4/12/2019;Ceara;Corinthians;2;4;1;0
6869;4/12/2019;Chapecoense;CSA;1;1;0;1
6870;4/12/2019;Fluminense;Fortaleza;1;0;1;1
6872;5/12/2019;Gremio;Cruzeiro;0;3;0;1
6874;5/12/2019;Bahia;Vasco;2;2;1;1
6879;8/12/2019;CSA;Sao Paulo;1;2;0;1
6884;8/12/2019;Avai;Athletico-PR;2;1;0;0
6907;15/8/2020;Coritiba;Flamengo;4;3;1;0
6913;16/8/2020;Atletico-GO;Sport;0;2;1;0
6931;23/8/2020;Palmeiras;Santos;5;2;0;1
6957;2/9/2020;Fluminense;Atletico-GO;2;1;1;0
6968;5/9/2020;Ceara;Santos;2;4;2;2
6973;6/9/2020;Atletico-GO;Gremio;1;2;0;1
6978;9/9/2020;Goias;Coritiba;4;2;1;1
